site,natural,cultural,danger,url,country,year
Frontiers of the Roman Empire,0.0,1.0,0.0,https://whc.unesco.org/en/list/430,Germany,1987.0
Great Living Chola Temples,0.0,1.0,0.0,https://whc.unesco.org/en/list/250,India,1987.0
Gros Morne National Park,1.0,0.0,0.0,https://whc.unesco.org/en/list/419,Canada,1987.0
Group of Monuments at Pattadakal,0.0,1.0,0.0,https://whc.unesco.org/en/list/239,India,1987.0
Hanseatic City of Lübeck,0.0,1.0,0.0,https://whc.unesco.org/en/list/272,Germany,1987.0
Hawaii Volcanoes National Park,1.0,0.0,0.0,https://whc.unesco.org/en/list/409,United States of America,1987.0
Historic Centre of Mexico City and Xochimilco,0.0,1.0,0.0,https://whc.unesco.org/en/list/412,Mexico,1987.0
Historic Centre of Oaxaca and Archaeological Site of Monte Albán,0.0,1.0,0.0,https://whc.unesco.org/en/list/415,Mexico,1987.0
Historic Centre of Puebla,0.0,1.0,0.0,https://whc.unesco.org/en/list/416,Mexico,1987.0
Imperial Palaces of the Ming and Qing Dynasties in Beijing and Shenyang,0.0,1.0,0.0,https://whc.unesco.org/en/list/439,China,1987.0
Kilimanjaro National Park,1.0,0.0,0.0,https://whc.unesco.org/en/list/403,United Republic of Tanzania,1987.0
Ksar of Ait-Ben-Haddou,0.0,1.0,0.0,https://whc.unesco.org/en/list/444,Morocco,1987.0
Manú National Park,1.0,0.0,0.0,https://whc.unesco.org/en/list/402,Peru,1987.0
Mausoleum of the First Qin Emperor,0.0,1.0,0.0,https://whc.unesco.org/en/list/441,China,1987.0
Mogao Caves,0.0,1.0,0.0,https://whc.unesco.org/en/list/440,China,1987.0
Monticello and the University of Virginia in Charlottesville,0.0,1.0,0.0,https://whc.unesco.org/en/list/442,United States of America,1987.0
Mount Taishan,1.0,1.0,0.0,https://whc.unesco.org/en/list/437,China,1987.0
Nemrut Dağ,0.0,1.0,0.0,https://whc.unesco.org/en/list/448,Türkiye,1987.0
Old Village of Hollókő and its Surroundings,0.0,1.0,0.0,https://whc.unesco.org/en/list/401,Hungary,1987.0
Palace of Westminster and Westminster Abbey including Saint Margaret’s Church,0.0,1.0,0.0,https://whc.unesco.org/en/list/426,United Kingdom of Great Britain and Northern Ireland,1987.0
Peking Man Site at Zhoukoudian,0.0,1.0,0.0,https://whc.unesco.org/en/list/449,China,1987.0
"Piazza del Duomo, Pisa",0.0,1.0,0.0,https://whc.unesco.org/en/list/395,Italy,1987.0
Pre-Hispanic City and National Park of Palenque,0.0,1.0,0.0,https://whc.unesco.org/en/list/411,Mexico,1987.0
Pre-Hispanic City of Teotihuacan,0.0,1.0,0.0,https://whc.unesco.org/en/list/414,Mexico,1987.0
Sian Ka'an,1.0,0.0,0.0,https://whc.unesco.org/en/list/410,Mexico,1987.0
Sundarbans National Park,1.0,0.0,0.0,https://whc.unesco.org/en/list/452,India,1987.0
The Great Wall,0.0,1.0,0.0,https://whc.unesco.org/en/list/438,China,1987.0
Uluru-Kata Tjuta National Park,1.0,1.0,0.0,https://whc.unesco.org/en/list/447,Australia,1987.0
Venice and its Lagoon,0.0,1.0,0.0,https://whc.unesco.org/en/list/394,Italy,1987.0
"Archaeological Sites of Bat, Al-Khutm and Al-Ayn",0.0,1.0,0.0,https://whc.unesco.org/en/list/434,Oman,1988.0
"Canterbury Cathedral, St Augustine's Abbey, and St Martin's Church",0.0,1.0,0.0,https://whc.unesco.org/en/list/496,United Kingdom of Great Britain and Northern Ireland,1988.0
Henderson Island,1.0,0.0,0.0,https://whc.unesco.org/en/list/487,United Kingdom of Great Britain and Northern Ireland,1988.0
Hierapolis-Pamukkale,1.0,1.0,0.0,https://whc.unesco.org/en/list/485,Türkiye,1988.0
Historic Centre of Lima,0.0,1.0,0.0,https://whc.unesco.org/en/list/500,Peru,1988.0
Historic Town of Guanajuato and Adjacent Mines,0.0,1.0,0.0,https://whc.unesco.org/en/list/482,Mexico,1988.0
Kairouan,0.0,1.0,0.0,https://whc.unesco.org/en/list/499,Tunisia,1988.0
Manovo-Gounda St Floris National Park,1.0,0.0,1.0,https://whc.unesco.org/en/list/475,Central African Republic,1988.0
Medieval City of Rhodes,0.0,1.0,0.0,https://whc.unesco.org/en/list/493,Greece,1988.0
Medina of Sousse,0.0,1.0,0.0,https://whc.unesco.org/en/list/498,Tunisia,1988.0
Meteora,1.0,1.0,0.0,https://whc.unesco.org/en/list/455,Greece,1988.0
Mount Athos,1.0,1.0,0.0,https://whc.unesco.org/en/list/454,Greece,1988.0
Nanda Devi and Valley of Flowers National Parks,1.0,0.0,0.0,https://whc.unesco.org/en/list/335,India,1988.0
Old City of Salamanca,0.0,1.0,0.0,https://whc.unesco.org/en/list/381,Spain,1988.0
Old Town of Galle and its Fortifications,0.0,1.0,0.0,https://whc.unesco.org/en/list/451,Sri Lanka,1988.0
Old Towns of Djenné,0.0,1.0,1.0,https://whc.unesco.org/en/list/116,Mali,1988.0
Paleochristian and Byzantine Monuments of Thessalonika,0.0,1.0,0.0,https://whc.unesco.org/en/list/456,Greece,1988.0
Pre-Hispanic City of Chichen-Itza,0.0,1.0,0.0,https://whc.unesco.org/en/list/483,Mexico,1988.0
Sacred City of Kandy,0.0,1.0,0.0,https://whc.unesco.org/en/list/450,Sri Lanka,1988.0
Sanctuary of Asklepios at Epidaurus,0.0,1.0,0.0,https://whc.unesco.org/en/list/491,Greece,1988.0
Sinharaja Forest Reserve,1.0,0.0,0.0,https://whc.unesco.org/en/list/405,Sri Lanka,1988.0
"Strasbourg, Grande-Île and Neustadt",0.0,1.0,0.0,https://whc.unesco.org/en/list/495,France,1988.0
Timbuktu,0.0,1.0,1.0,https://whc.unesco.org/en/list/119,Mali,1988.0
Tower of London,0.0,1.0,0.0,https://whc.unesco.org/en/list/488,United Kingdom of Great Britain and Northern Ireland,1988.0
Trinidad and the Valley de los Ingenios,0.0,1.0,0.0,https://whc.unesco.org/en/list/460,Cuba,1988.0
Wet Tropics of Queensland,1.0,0.0,0.0,https://whc.unesco.org/en/list/486,Australia,1988.0
Xanthos-Letoon,0.0,1.0,0.0,https://whc.unesco.org/en/list/484,Türkiye,1988.0
Archaeological Site of Mystras,0.0,1.0,0.0,https://whc.unesco.org/en/list/511,Greece,1989.0
Archaeological Site of Olympia,0.0,1.0,0.0,https://whc.unesco.org/en/list/517,Greece,1989.0
Banc d'Arguin National Park,1.0,0.0,0.0,https://whc.unesco.org/en/list/506,Mauritania,1989.0
Buddhist Monuments at Sanchi,0.0,1.0,0.0,https://whc.unesco.org/en/list/524,India,1989.0
Cliff of Bandiagara (Land of the Dogons),1.0,1.0,0.0,https://whc.unesco.org/en/list/516,Mali,1989.0
Monastery of Alcobaça,0.0,1.0,0.0,https://whc.unesco.org/en/list/505,Portugal,1989.0
Mosi-oa-Tunya / Victoria Falls,1.0,0.0,0.0,https://whc.unesco.org/en/list/509,Zambia,1989.0
Andrefana Dry Forests,1.0,0.0,0.0,https://whc.unesco.org/en/list/494,Madagascar,1990.0
Colonial City of Santo Domingo,0.0,1.0,0.0,https://whc.unesco.org/en/list/526,Dominican Republic,1990.0
Delos,0.0,1.0,0.0,https://whc.unesco.org/en/list/530,Greece,1990.0
Historic Centre of Saint Petersburg and Related Groups of Monuments,0.0,1.0,0.0,https://whc.unesco.org/en/list/540,Russian Federation,1990.0
Historic Centre of San Gimignano,0.0,1.0,0.0,https://whc.unesco.org/en/list/550,Italy,1990.0
Itchan Kala,0.0,1.0,0.0,https://whc.unesco.org/en/list/543,Uzbekistan,1990.0
Jesuit Missions of the Chiquitos,0.0,1.0,0.0,https://whc.unesco.org/en/list/529,Plurinational State of,1990.0
Kizhi Pogost,0.0,1.0,0.0,https://whc.unesco.org/en/list/544,Russian Federation,1990.0
"Kremlin and Red Square, Moscow",0.0,1.0,0.0,https://whc.unesco.org/en/list/545,Russian Federation,1990.0
"Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings, Kyiv-Pechersk Lavra",0.0,1.0,1.0,https://whc.unesco.org/en/list/527,Ukraine,1990.0
"Monasteries of Daphni, Hosios Loukas and Nea Moni of Chios",0.0,1.0,0.0,https://whc.unesco.org/en/list/537,Greece,1990.0
Mount Huangshan,1.0,1.0,0.0,https://whc.unesco.org/en/list/547,China,1990.0
Palaces and Parks of Potsdam and Berlin,0.0,1.0,0.0,https://whc.unesco.org/en/list/532,Germany,1990.0
Río Abiseo National Park,1.0,1.0,0.0,https://whc.unesco.org/en/list/548,Peru,1990.0
Te Wahipounamu – South West New Zealand,1.0,0.0,0.0,https://whc.unesco.org/en/list/551,New Zealand,1990.0
Tongariro National Park,1.0,1.0,0.0,https://whc.unesco.org/en/list/421,New Zealand,1990.0
Abbey and Altenmünster of Lorsch,0.0,1.0,0.0,https://whc.unesco.org/en/list/515,Germany,1991.0
Air and Ténéré Natural Reserves,1.0,0.0,1.0,https://whc.unesco.org/en/list/573,Niger,1991.0
Borobudur Temple Compounds,0.0,1.0,0.0,https://whc.unesco.org/en/list/592,Indonesia,1991.0
"Cathedral of Notre-Dame, Former Abbey of Saint-Rémi and Palace of Tau, Reims",0.0,1.0,0.0,https://whc.unesco.org/en/list/601,France,1991.0
Danube Delta,1.0,0.0,0.0,https://whc.unesco.org/en/list/588,Romania,1991.0
Fortress of Suomenlinna,0.0,1.0,0.0,https://whc.unesco.org/en/list/583,Finland,1991.0
Historic Centre of Morelia,0.0,1.0,0.0,https://whc.unesco.org/en/list/585,Mexico,1991.0
Historic City of Ayutthaya,0.0,1.0,0.0,https://whc.unesco.org/en/list/576,Thailand,1991.0
Historic City of Sucre,0.0,1.0,0.0,https://whc.unesco.org/en/list/566,Plurinational State of,1991.0
Historic Town of Sukhothai and Associated Historic Towns,0.0,1.0,0.0,https://whc.unesco.org/en/list/574,Thailand,1991.0
Island of Mozambique,0.0,1.0,0.0,https://whc.unesco.org/en/list/599,Mozambique,1991.0
Komodo National Park,1.0,0.0,0.0,https://whc.unesco.org/en/list/609,Indonesia,1991.0
Old Rauma,0.0,1.0,0.0,https://whc.unesco.org/en/list/582,Finland,1991.0
"Paris, Banks of the Seine",0.0,1.0,0.0,https://whc.unesco.org/en/list/600,France,1991.0
Poblet Monastery,0.0,1.0,0.0,https://whc.unesco.org/en/list/518,Spain,1991.0
Prambanan Temple Compounds,0.0,1.0,0.0,https://whc.unesco.org/en/list/642,Indonesia,1991.0
Rangiri Dambulla Cave Temple,0.0,1.0,0.0,https://whc.unesco.org/en/list/561,Sri Lanka,1991.0
Royal Domain of Drottningholm,0.0,1.0,0.0,https://whc.unesco.org/en/list/559,Sweden,1991.0
Serra da Capivara National Park,0.0,1.0,0.0,https://whc.unesco.org/en/list/606,Brazil,1991.0
"Shark Bay, Western Australia",1.0,0.0,0.0,https://whc.unesco.org/en/list/578,Australia,1991.0
Thungyai-Huai Kha Khaeng Wildlife Sanctuaries,1.0,0.0,0.0,https://whc.unesco.org/en/list/591,Thailand,1991.0
Ujung Kulon National Park,1.0,0.0,0.0,https://whc.unesco.org/en/list/608,Indonesia,1991.0
Angkor,0.0,1.0,0.0,https://whc.unesco.org/en/list/668,Cambodia,1992.0
Ban Chiang Archaeological Site,0.0,1.0,0.0,https://whc.unesco.org/en/list/575,Thailand,1992.0
Bourges Cathedral,0.0,1.0,0.0,https://whc.unesco.org/en/list/635,France,1992.0
Butrint,0.0,1.0,0.0,https://whc.unesco.org/en/list/570,Albania,1992.0
Cultural and Historic Ensemble of the Solovetsky Islands,0.0,1.0,0.0,https://whc.unesco.org/en/list/632,Russian Federation,1992.0
"El Tajin, Pre-Hispanic City",0.0,1.0,0.0,https://whc.unesco.org/en/list/631,Mexico,1992.0
Historic Centre of Český Krumlov,0.0,1.0,0.0,https://whc.unesco.org/en/list/617,Czechia,1992.0
Historic Centre of Prague,0.0,1.0,0.0,https://whc.unesco.org/en/list/616,Czechia,1992.0
Historic Centre of Telč,0.0,1.0,0.0,https://whc.unesco.org/en/list/621,Czechia,1992.0
Historic Monuments of Novgorod and Surroundings,0.0,1.0,0.0,https://whc.unesco.org/en/list/604,Russian Federation,1992.0
Huanglong Scenic and Historic Interest Area,1.0,0.0,0.0,https://whc.unesco.org/en/list/638,China,1992.0
Jiuzhaigou Valley Scenic and Historic Interest Area,1.0,0.0,0.0,https://whc.unesco.org/en/list/637,China,1992.0
K’gari (Fraser Island),1.0,0.0,0.0,https://whc.unesco.org/en/list/630,Australia,1992.0
Kasbah of Algiers,0.0,1.0,0.0,https://whc.unesco.org/en/list/565,Algeria,1992.0
"Mines of Rammelsberg, Historic Town of Goslar and Upper Harz Water Management  System",0.0,1.0,0.0,https://whc.unesco.org/en/list/623,Germany,1992.0
Old City of Zamość,0.0,1.0,0.0,https://whc.unesco.org/en/list/564,Poland,1992.0
Pythagoreion and Heraion of Samos,0.0,1.0,0.0,https://whc.unesco.org/en/list/595,Greece,1992.0
Taos Pueblo,0.0,1.0,0.0,https://whc.unesco.org/en/list/492,United States of America,1992.0
White Monuments of Vladimir and Suzdal,0.0,1.0,0.0,https://whc.unesco.org/en/list/633,Russian Federation,1992.0
Wulingyuan Scenic and Historic Interest Area,1.0,0.0,0.0,https://whc.unesco.org/en/list/640,China,1992.0
Archaeological Ensemble of Mérida,0.0,1.0,0.0,https://whc.unesco.org/en/list/664,Spain,1993.0
Architectural Ensemble of the Trinity Sergius Lavra in Sergiev Posad,0.0,1.0,0.0,https://whc.unesco.org/en/list/657,Russian Federation,1993.0
Baroque Churches of the Philippines,0.0,1.0,0.0,https://whc.unesco.org/en/list/677,Philippines,1993.0
Birka and Hovgården,0.0,1.0,0.0,https://whc.unesco.org/en/list/555,Sweden,1993.0
Brú na Bóinne - Archaeological Ensemble of the Bend of the Boyne,0.0,1.0,0.0,https://whc.unesco.org/en/list/659,Ireland,1993.0
Buddhist Monuments in the Horyu-ji Area,0.0,1.0,0.0,https://whc.unesco.org/en/list/660,Japan,1993.0
Churches of Moldavia,0.0,1.0,0.0,https://whc.unesco.org/en/list/598,Romania,1993.0
Complex of Hué Monuments,0.0,1.0,0.0,https://whc.unesco.org/en/list/678,Viet Nam,1993.0
Coro and its Port,0.0,1.0,1.0,https://whc.unesco.org/en/list/658,Bolivarian Republic of,1993.0
Engelsberg Ironworks,0.0,1.0,0.0,https://whc.unesco.org/en/list/556,Sweden,1993.0
Himeji-jo,0.0,1.0,0.0,https://whc.unesco.org/en/list/661,Japan,1993.0
Historic Centre of Bukhara,0.0,1.0,0.0,https://whc.unesco.org/en/list/602,Uzbekistan,1993.0
Historic Centre of Zacatecas,0.0,1.0,0.0,https://whc.unesco.org/en/list/676,Mexico,1993.0
Historic Town of Banská Štiavnica and the Technical Monuments in its Vicinity,0.0,1.0,0.0,https://whc.unesco.org/en/list/618,Slovakia,1993.0
Historic Town of Zabid,0.0,1.0,1.0,https://whc.unesco.org/en/list/611,Yemen,1993.0
"Humayun's Tomb, Delhi",0.0,1.0,0.0,https://whc.unesco.org/en/list/232,India,1993.0
Jesuit Missions of La Santísima Trinidad de Paraná and Jesús de Tavarangue,0.0,1.0,0.0,https://whc.unesco.org/en/list/648,Paraguay,1993.0
Joya de Cerén Archaeological Site,0.0,1.0,0.0,https://whc.unesco.org/en/list/675,El Salvador,1993.0
"Levoča, Spišský Hrad and the Associated Cultural Monuments",0.0,1.0,0.0,https://whc.unesco.org/en/list/620,Slovakia,1993.0
Maulbronn Monastery Complex,0.0,1.0,0.0,https://whc.unesco.org/en/list/546,Germany,1993.0
Monastery of Horezu,0.0,1.0,0.0,https://whc.unesco.org/en/list/597,Romania,1993.0
"Qutb Minar and its Monuments, Delhi",0.0,1.0,0.0,https://whc.unesco.org/en/list/233,India,1993.0
Rock Paintings of the Sierra de San Francisco,0.0,1.0,0.0,https://whc.unesco.org/en/list/714,Mexico,1993.0
Routes of Santiago de Compostela: Camino Francés and Routes of Northern Spain,0.0,1.0,0.0,https://whc.unesco.org/en/list/669,Spain,1993.0
Royal Monastery of Santa María de Guadalupe,0.0,1.0,0.0,https://whc.unesco.org/en/list/665,Spain,1993.0
Shirakami-Sanchi,1.0,0.0,0.0,https://whc.unesco.org/en/list/663,Japan,1993.0
The Sassi and the Park of the Rupestrian Churches of Matera,0.0,1.0,0.0,https://whc.unesco.org/en/list/670,Italy,1993.0
Town of Bamberg,0.0,1.0,0.0,https://whc.unesco.org/en/list/624,Germany,1993.0
Tubbataha Reefs Natural Park,1.0,0.0,0.0,https://whc.unesco.org/en/list/653,Philippines,1993.0
Villages with Fortified Churches in Transylvania,0.0,1.0,0.0,https://whc.unesco.org/en/list/596,Romania,1993.0
Vlkolínec,0.0,1.0,0.0,https://whc.unesco.org/en/list/622,Slovakia,1993.0
Whale Sanctuary of El Vizcaino,1.0,0.0,0.0,https://whc.unesco.org/en/list/554,Mexico,1993.0
Yakushima,1.0,0.0,0.0,https://whc.unesco.org/en/list/662,Japan,1993.0
Ancient Building Complex in the Wudang Mountains,0.0,1.0,0.0,https://whc.unesco.org/en/list/705,China,1994.0
Arabian Oryx Sanctuary,1.0,0.0,0.0,https://whc.unesco.org/en/list/654,Oman,1994.0
Australian Fossil Mammal Sites (Riversleigh / Naracoorte),1.0,0.0,0.0,https://whc.unesco.org/en/list/698,Australia,1994.0
Bwindi Impenetrable National Park,1.0,0.0,0.0,https://whc.unesco.org/en/list/682,Uganda,1994.0
Canaima National Park,1.0,0.0,0.0,https://whc.unesco.org/en/list/701,Bolivarian Republic of,1994.0
"Church of the Ascension, Kolomenskoye",0.0,1.0,0.0,https://whc.unesco.org/en/list/634,Russian Federation,1994.0
City of Luxembourg: its Old Quarters and Fortifications,0.0,1.0,0.0,https://whc.unesco.org/en/list/699,Luxembourg,1994.0
City of Safranbolu,0.0,1.0,0.0,https://whc.unesco.org/en/list/614,Türkiye,1994.0
City of Vicenza and the Palladian Villas of the Veneto,0.0,1.0,0.0,https://whc.unesco.org/en/list/712,Italy,1994.0
"Collegiate Church, Castle and Old Town of Quedlinburg",0.0,1.0,0.0,https://whc.unesco.org/en/list/535,Germany,1994.0
Doñana National Park,1.0,0.0,0.0,https://whc.unesco.org/en/list/685,Spain,1994.0
Earliest 16th-Century Monasteries on the Slopes of Popocatepetl,0.0,1.0,0.0,https://whc.unesco.org/en/list/702,Mexico,1994.0
Gelati Monastery,0.0,1.0,0.0,https://whc.unesco.org/en/list/710,Georgia,1994.0
Ha Long Bay - Cat Ba Archipelago,1.0,0.0,0.0,https://whc.unesco.org/en/list/672,Viet Nam,1994.0
"Historic Ensemble of the Potala Palace, Lhasa",0.0,1.0,0.0,https://whc.unesco.org/en/list/707,China,1994.0
"Historic Monuments of Ancient Kyoto (Kyoto, Uji and Otsu Cities)",0.0,1.0,0.0,https://whc.unesco.org/en/list/688,Japan,1994.0
Historical Monuments of Mtskheta,0.0,1.0,0.0,https://whc.unesco.org/en/list/708,Georgia,1994.0
"Jelling Mounds, Runic Stones and Church",0.0,1.0,0.0,https://whc.unesco.org/en/list/697,Denmark,1994.0
Lines and Geoglyphs of Nasca and Palpa,0.0,1.0,0.0,https://whc.unesco.org/en/list/700,Peru,1994.0
Los Katíos National Park,1.0,0.0,0.0,https://whc.unesco.org/en/list/711,Colombia,1994.0
"Mountain Resort and its Outlying Temples, Chengde",0.0,1.0,0.0,https://whc.unesco.org/en/list/703,China,1994.0
Petäjävesi Old Church,0.0,1.0,0.0,https://whc.unesco.org/en/list/584,Finland,1994.0
Pilgrimage Church of St John of Nepomuk at Zelená Hora,0.0,1.0,0.0,https://whc.unesco.org/en/list/690,Czechia,1994.0
Rock Carvings in Tanum,0.0,1.0,0.0,https://whc.unesco.org/en/list/557,Sweden,1994.0
Rwenzori Mountains National Park,1.0,0.0,0.0,https://whc.unesco.org/en/list/684,Uganda,1994.0
Skogskyrkogården,0.0,1.0,0.0,https://whc.unesco.org/en/list/558,Sweden,1994.0
Temple and Cemetery of Confucius and the Kong Family Mansion in Qufu,0.0,1.0,0.0,https://whc.unesco.org/en/list/704,China,1994.0
Vilnius Historic Centre,0.0,1.0,0.0,https://whc.unesco.org/en/list/541,Lithuania,1994.0
Völklingen Ironworks,0.0,1.0,0.0,https://whc.unesco.org/en/list/687,Germany,1994.0
Carlsbad Caverns National Park,1.0,0.0,0.0,https://whc.unesco.org/en/list/721,United States of America,1995.0
Caves of Aggtelek Karst and Slovak Karst,1.0,0.0,0.0,https://whc.unesco.org/en/list/725,Hungary,1995.0
Crespi d'Adda,0.0,1.0,0.0,https://whc.unesco.org/en/list/730,Italy,1995.0
Cultural Landscape of Sintra,0.0,1.0,0.0,https://whc.unesco.org/en/list/723,Portugal,1995.0
"Ferrara, City of the Renaissance, and its Po Delta",0.0,1.0,0.0,https://whc.unesco.org/en/list/733,Italy,1995.0
Gough and Inaccessible Islands,1.0,0.0,0.0,https://whc.unesco.org/en/list/740,United Kingdom of Great Britain and Northern Ireland,1995.0
"Haeinsa Temple Janggyeong Panjeon, the Depositories for the Tripitaka Koreana Woodblocks",0.0,1.0,0.0,https://whc.unesco.org/en/list/737,Republic of Korea,1995.0
Hanseatic Town of Visby,0.0,1.0,0.0,https://whc.unesco.org/en/list/731,Sweden,1995.0
"Historic Centre of Avignon: Papal Palace, Episcopal Ensemble and Avignon Bridge",0.0,1.0,0.0,https://whc.unesco.org/en/list/228,France,1995.0
Historic Centre of Naples,0.0,1.0,0.0,https://whc.unesco.org/en/list/726,Italy,1995.0
Historic Centre of Santa Cruz de Mompox,0.0,1.0,0.0,https://whc.unesco.org/en/list/742,Colombia,1995.0
Historic Centre of Siena,0.0,1.0,0.0,https://whc.unesco.org/en/list/717,Italy,1995.0
Historic Quarter of the City of Colonia del Sacramento,0.0,1.0,0.0,https://whc.unesco.org/en/list/747,Uruguay,1995.0
Historic Villages of Shirakawa-go and Gokayama,0.0,1.0,0.0,https://whc.unesco.org/en/list/734,Japan,1995.0
Jongmyo Shrine,0.0,1.0,0.0,https://whc.unesco.org/en/list/738,Republic of Korea,1995.0
Kutná Hora: Historical Town Centre with the Church of St Barbara and the Cathedral of Our Lady at Sedlec,0.0,1.0,0.0,https://whc.unesco.org/en/list/732,Czechia,1995.0
Messel Pit Fossil Site,1.0,0.0,0.0,https://whc.unesco.org/en/list/720,Germany,1995.0
National Archeological Park of Tierradentro,0.0,1.0,0.0,https://whc.unesco.org/en/list/743,Colombia,1995.0
Old and New Towns of Edinburgh,0.0,1.0,0.0,https://whc.unesco.org/en/list/728,United Kingdom of Great Britain and Northern Ireland,1995.0
Old Town Lunenburg,0.0,1.0,0.0,https://whc.unesco.org/en/list/741,Canada,1995.0
Rapa Nui National Park,0.0,1.0,0.0,https://whc.unesco.org/en/list/715,Chile,1995.0
Rice Terraces of the Philippine Cordilleras,0.0,1.0,0.0,https://whc.unesco.org/en/list/722,Philippines,1995.0
Roskilde Cathedral,0.0,1.0,0.0,https://whc.unesco.org/en/list/695,Denmark,1995.0
San Agustín Archaeological Park,0.0,1.0,0.0,https://whc.unesco.org/en/list/744,Colombia,1995.0
Schokland and Surroundings,0.0,1.0,0.0,https://whc.unesco.org/en/list/739,Kingdom of the,1995.0
Seokguram Grotto and Bulguksa Temple,0.0,1.0,0.0,https://whc.unesco.org/en/list/736,Republic of Korea,1995.0
Town of Luang Prabang,0.0,1.0,0.0,https://whc.unesco.org/en/list/479,Lao People's Democratic Republic,1995.0
Virgin Komi Forests,1.0,0.0,0.0,https://whc.unesco.org/en/list/719,Russian Federation,1995.0
Waterton Glacier International Peace Park,1.0,0.0,0.0,https://whc.unesco.org/en/list/354,Canada,1995.0
"Ancient Ksour of Ouadane, Chinguetti, Tichitt and Oualata",0.0,1.0,0.0,https://whc.unesco.org/en/list/750,Mauritania,1996.0
Archaeological Site of Aigai (modern name Vergina),0.0,1.0,0.0,https://whc.unesco.org/en/list/780,Greece,1996.0
"Bauhaus and its Sites in Weimar, Dessau and Bernau",0.0,1.0,0.0,https://whc.unesco.org/en/list/729,Germany,1996.0
Belize Barrier Reef Reserve System,1.0,0.0,0.0,https://whc.unesco.org/en/list/764,Belize,1996.0
Canal du Midi,0.0,1.0,0.0,https://whc.unesco.org/en/list/770,France,1996.0
Castel del Monte,0.0,1.0,0.0,https://whc.unesco.org/en/list/398,Italy,1996.0
"Church Town of Gammelstad, Luleå",0.0,1.0,0.0,https://whc.unesco.org/en/list/762,Sweden,1996.0
Cologne Cathedral,0.0,1.0,0.0,https://whc.unesco.org/en/list/292,Germany,1996.0
Dutch Water Defence Lines,0.0,1.0,0.0,https://whc.unesco.org/en/list/759,Kingdom of the,1996.0
Early Christian Monuments of Ravenna,0.0,1.0,0.0,https://whc.unesco.org/en/list/788,Italy,1996.0
Hiroshima Peace Memorial (Genbaku Dome),0.0,1.0,0.0,https://whc.unesco.org/en/list/775,Japan,1996.0
"Historic Centre of Oporto, Luiz I Bridge and Monastery of Serra do Pilar",0.0,1.0,0.0,https://whc.unesco.org/en/list/755,Portugal,1996.0
Historic Centre of the City of Pienza,0.0,1.0,0.0,https://whc.unesco.org/en/list/789,Italy,1996.0
Historic Centre of the City of Salzburg,0.0,1.0,0.0,https://whc.unesco.org/en/list/784,Austria,1996.0
Historic City of Meknes,0.0,1.0,0.0,https://whc.unesco.org/en/list/793,Morocco,1996.0
Historic Monuments Zone of Querétaro,0.0,1.0,0.0,https://whc.unesco.org/en/list/792,Mexico,1996.0
Historic Walled Town of Cuenca,0.0,1.0,0.0,https://whc.unesco.org/en/list/781,Spain,1996.0
Itsukushima Shinto Shrine,0.0,1.0,0.0,https://whc.unesco.org/en/list/776,Japan,1996.0
La Lonja de la Seda de Valencia,0.0,1.0,0.0,https://whc.unesco.org/en/list/782,Spain,1996.0
Lake Baikal,1.0,0.0,0.0,https://whc.unesco.org/en/list/754,Russian Federation,1996.0
Laponian Area,1.0,1.0,0.0,https://whc.unesco.org/en/list/774,Sweden,1996.0
Lednice-Valtice Cultural Landscape,0.0,1.0,0.0,https://whc.unesco.org/en/list/763,Czechia,1996.0
Lushan National Park,0.0,1.0,0.0,https://whc.unesco.org/en/list/778,China,1996.0
Luther Memorials in Eisleben and Wittenberg,0.0,1.0,0.0,https://whc.unesco.org/en/list/783,Germany,1996.0
Millenary Benedictine Abbey of Pannonhalma and its Natural Environment,0.0,1.0,0.0,https://whc.unesco.org/en/list/758,Hungary,1996.0
Monasteries of Haghpat and Sanahin,0.0,1.0,0.0,https://whc.unesco.org/en/list/777,Armenia,1996.0
"Mount Emei Scenic Area, including Leshan Giant Buddha Scenic Area",1.0,1.0,0.0,https://whc.unesco.org/en/list/779,China,1996.0
Okapi Wildlife Reserve,1.0,0.0,1.0,https://whc.unesco.org/en/list/718,Democratic Republic of the Congo,1996.0
Palace and Gardens of Schönbrunn,0.0,1.0,0.0,https://whc.unesco.org/en/list/786,Austria,1996.0
Pre-Hispanic Town of Uxmal,0.0,1.0,0.0,https://whc.unesco.org/en/list/791,Mexico,1996.0
Sangiran Early Man Site,0.0,1.0,0.0,https://whc.unesco.org/en/list/593,Indonesia,1996.0
Sceilg Mhichíl,0.0,1.0,0.0,https://whc.unesco.org/en/list/757,Ireland,1996.0
The Trulli of Alberobello,0.0,1.0,0.0,https://whc.unesco.org/en/list/787,Italy,1996.0
Upper Svaneti,0.0,1.0,0.0,https://whc.unesco.org/en/list/709,Georgia,1996.0
Verla Groundwood and Board Mill,0.0,1.0,0.0,https://whc.unesco.org/en/list/751,Finland,1996.0
Volcanoes of Kamchatka,1.0,0.0,0.0,https://whc.unesco.org/en/list/765,Russian Federation,1996.0
W-Arly-Pendjari Complex,1.0,0.0,0.0,https://whc.unesco.org/en/list/749,Benin,1996.0
"18th-Century Royal Palace at Caserta with the Park, the Aqueduct of Vanvitelli, and the San Leucio Complex",0.0,1.0,0.0,https://whc.unesco.org/en/list/549,Italy,1997.0
